id	recognized_monomers	nerpa2_supported_monomers
NPA027440	7	7
PNPdb01831	3	2
PNPdb00501	8	8
PNPdb00502	5	5
PNPdb01833	4	3
PNPdb00503	11	10
PNPdb01834	5	5
PNPdb00504	13	11
PNPdb01835	4	4
PNPdb00506	6	5
PNPdb01838	5	5
NPA015464	8	7
PNPdb00508	3	3
PNPdb01839	6	6
NPA015465	11	10
BGC0001429.0	5	5
BGC0002474.0	5	4
BGC0001033.1	6	5
NPA011918	3	3
BGC0001033.2	5	4
BGC0001033.3	5	4
PNPdb01840	6	6
PNPdb00510	3	3
PNPdb01841	6	6
PNPdb00511	3	3
PNPdb01842	6	6
PNPdb00512	4	4
PNPdb01843	8	6
BGC0001033.0	6	5
PNPdb00513	5	5
PNPdb01844	8	8
PNPdb00514	5	5
PNPdb01845	8	8
PNPdb01846	10	9
PNPdb00516	5	5
PNPdb01847	2	1
PNPdb00517	4	4
PNPdb01848	8	8
PNPdb00518	4	3
PNPdb01849	11	11
PNPdb00519	7	7
NPA009608	7	7
NPA011928	18	18
PNPdb01850	13	13
PNPdb00520	7	5
PNPdb00521	7	7
PNPdb01852	7	6
PNPdb00522	6	6
PNPdb01853	14	13
NPA014192	5	3
PNPdb00523	6	6
NPA014193	6	5
PNPdb00525	9	7
PNPdb01856	3	3
NPA011920	7	5
NPA014195	8	6
PNPdb00526	7	7
PNPdb00527	7	7
PNPdb01858	3	2
PNPdb00528	6	6
PNPdb01859	4	4
PNPdb00529	7	7
BGC0001153.0	10	10
NPA002194	2	2
NPA002195	4	4
NOR00086	5	5
NOR00087	5	5
BGC0001821.0	2	2
NOR00078	5	5
NPA027499	7	6
NOR00079	6	5
NPA027498	7	6
PNPdb00530	8	8
PNPdb01861	2	2
NPA027497	6	4
PNPdb00531	11	11
NPA027496	6	6
PNPdb01863	4	4
NPA027495	7	6
PNPdb01864	4	3
NPA027494	7	5
PNPdb00534	10	10
PNPdb01865	6	5
NPA027493	7	5
PNPdb00535	11	11
PNPdb01866	7	7
NPA027492	7	6
PNPdb00536	12	10
PNPdb01867	6	6
NPA027491	7	5
PNPdb01868	6	6
NPA014185	6	4
NPA027490	7	6
PNPdb01869	6	6
NPA014186	5	5
BGC0000409.0	0	0
NOR00092	6	6
NOR00093	6	6
NOR00094	6	6
NOR00095	6	6
NOR00096	5	5
NOR00097	5	5
NPA011909	2	1
NOR00098	6	6
NPA027479	4	4
NOR00099	6	6
PNPdb01880	9	9
NPA011907	9	9
NPA027489	7	5
PNPdb01870	7	7
NPA027488	7	6
PNPdb01871	6	6
NPA011905	4	2
NPA027487	7	5
PNPdb00541	4	3
PNPdb01872	6	6
NPA027486	7	6
PNPdb00542	3	3
PNPdb01873	3	3
PNPdb01874	7	7
BGC0001020.0	3	2
PNPdb00544	3	3
BGC0002532.0	4	3
PNPdb00545	3	3
PNPdb01876	6	3
NPA027482	4	4
PNPdb00546	5	5
PNPdb01877	8	6
NPA027481	4	4
PNPdb00547	5	5
PNPdb01878	8	8
NPA027480	4	4
PNPdb00548	6	6
NPA014174	8	8
PNPdb00549	5	5
NPA022615	2	2
NPA022614	2	2
NPA008310	8	7
PNPdb01890	5	4
PNPdb00560	6	6
