ID	Name	SMILES	Origin	InChiKey	Source	Alternative IDs
BGC0000339.0	echinomycin	C[C@@H]1C(=O)N([C@H]2CSC([C@@H](C(=O)N([C@H](C(=O)OC[C@H](C(=O)N1)NC(=O)C3=NC4=CC=CC=C4N=C3)C(C)C)C)N(C(=O)[C@H](NC(=O)[C@@H](COC(=O)[C@@H](N(C2=O)C)C(C)C)NC(=O)C5=NC6=CC=CC=C6N=C5)C)C)SC)C	Streptomyces lasaliensis	AUJXLBOHYWTPFV-CVLRASHMSA-N	MIBiG4.0rc1	
BGC0000342.0	enniatin	CCCC[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)CC)C)C(C)C)C(C)C)C)C(C)C	Fusarium equiseti	VGOLHAPJYMAXRH-CKHUAROESA-N	MIBiG4.0rc1	
BGC0000343.0	enterobactin	C1C(C(=O)OCC(C(=O)OCC(C(=O)O1)NC(=O)C2=C(C(=CC=C2)O)O)NC(=O)C3=C(C(=CC=C3)O)O)NC(=O)C4=C(C(=CC=C4)O)O	Pseudomonas sp. J465; Wickerhamiella pararugosa; Escherichia coli str. K-12 substr. MG1655; Escherichia coli	SERBHKJMVBATSJ-UHFFFAOYSA-N	MIBiG4.0rc1; Norine	BGC0002183.0; BGC0002476.0; NOR00251
BGC0000346.0	epoxomicin	CC[C@H](C)[C@@H](C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)[C@]1(CO1)C)NC(=O)[C@H]([C@@H](C)CC)N(C)C(=O)C	Goodfellowiella coeruleoviolacea	DOGIDQKFVLKMLQ-JTHVHQAWSA-N	MIBiG4.0rc1	
BGC0000349.0	erythrochelin	CC(=O)N[C@H](CCCN(O)C(C)=O)C(=O)N[C@H](CO)C(=O)N(O)CCC[C@@H]1NC(=O)[C@H](CCCN(O)C(C)=O)NC1=O	Saccharopolyspora erythraea NRRL 2338	OHIZVXAYPZKILQ-FUMNGEBKSA-N	MIBiG4.0rc1	
BGC0000354.3	friulimicin D	CCC(C)CCCCCCC/C=C\CC(=O)N[C@@H](CC(=O)N)C(=O)N[C@H]1[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@H](NC(=O)[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]3CCCCN3C1=O)[C@H](C)C(=O)O)CC(=O)O)CC(=O)O)[C@@H](C)N)C(C)C)C	Actinoplanes friuliensis	YCENLAAIZVXNOG-JCDMCXPCSA-N	MIBiG4.0rc1; Norine	NOR00768
BGC0000355.0	fumiquinazoline A	[H][C@]12N[C@@H](C)C(=O)N1C1=CC=CC=C1[C@@]2(O)C[C@@]1([H])N2C(=O)C3=C(C=CC=C3)N=C2[C@H](C)NC1=O	Aspergillus fumigatus Af293	DQQCCKFZJNINST-VCPZKGNQSA-N	MIBiG4.0rc1	
BGC0000358.0	fusaricidin A	CC(C)[C@H]1NC(=O)[C@@H](NC(=O)CC(O)CCCCCCCCCCCCNC(N)=N)[C@@H](C)OC(=O)[C@@H](C)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](NC(=O)[C@@H](NC1=O)C(C)C)[C@@H](C)O	Paenibacillus polymyxa SC2; Bacillus polymyxa KT-8	ZQMLIVBQFXSJNR-NVCIGDDDSA-N	MIBiG4.0rc1; NPAtlas	NPA005020
BGC0000358.1	fusaricidin B	CC(C)[C@H]1NC(=O)[C@@H](NC(=O)CC(O)CCCCCCCCCCCCNC(N)=N)C(C)OC(=O)[C@@H](C)NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](NC(=O)[C@@H](NC1=O)C(C)C)[C@H](C)O	Paenibacillus polymyxa SC2; Paenibacillus polymyxa	WDNFMLNXGKOBJN-QWDDQTKWSA-N	MIBiG4.0rc1	BGC0001152.0
BGC0000358.2	LI-F05a	CC[C@H](C)[C@H]1C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)O[C@@H]([C@@H](C(=O)N[C@@H](C(=O)N1)C(C)C)NC(=O)CC(CCCCCCCCCCCCN=C(N)N)O)C)C)CC(=O)N)C(C)O	Paenibacillus polymyxa SC2; Bacillus polymyxa	FUNFDCQFOMBKRN-PAMCABBSSA-N	MIBiG4.0rc1; NPAtlas	NPA017619
BGC0000358.3	LI-F05b	CC[C@H](C)[C@H]1C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)O[C@@H]([C@@H](C(=O)N[C@@H](C(=O)N1)C(C)C)NC(=O)CC(CCCCCCCCCCCCN=C(N)N)O)C)C)CCC(=O)N)[C@@H](C)O	Paenibacillus polymyxa SC2; Bacillus polymyxa	GKWWTPHJRROIAZ-LCACSMQISA-N	MIBiG4.0rc1; NPAtlas	NPA019196
